what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1304091756412
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1304091756412
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1304091756412
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1304091756412
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1304091756412
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1304091756412
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1304091756412
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1304091756412
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1304091756412
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1304091756412
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1304091756412
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1304091756412
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1304091756412
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1304091756412
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1304091756412
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1304091756412
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1304091756412
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1304091756412
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1304091756413
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1304091756413
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1304091756413
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1304091756413
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1304091756413
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1304091756413
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1304091756413
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1304091756413
started,bundle,org.tigris.subversion.subclipse.core,1.6.17,"org.tigris.subversion.subclipse.core",1304091756413
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1304091756413
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1304091756413
os,sysinfo,,,"win32",1304091756416
arch,sysinfo,,,"x86",1304091756416
ws,sysinfo,,,"win32",1304091756416
locale,sysinfo,,,"de_AT",1304091756416
processors,sysinfo,,,"2",1304091756416
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1304091756416
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1304091756416
java.specification.name,sysinfo,,,"Java Platform API Specification",1304091756416
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304091756416
java.specification.version,sysinfo,,,"1.6",1304091756416
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1304091756416
java.version,sysinfo,,,"1.6.0_20",1304091756416
java.vm.info,sysinfo,,,"mixed mode, sharing",1304091756416
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1304091756416
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1304091756416
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304091756416
java.vm.specification.version,sysinfo,,,"1.0",1304091756416
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1304091756416
java.vm.version,sysinfo,,,"16.3-b01",1304091756416
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091787142
started,bundle,com.collabnet.subversion.merge,2.2.3,"com.collabnet.subversion.merge",1304091787372
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1304091787386
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1304091787389
started,bundle,org.tigris.subversion.subclipse.ui,1.6.17,"org.tigris.subversion.subclipse.ui",1304091787410
activated,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1304091790113
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304091790193
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1304091791433
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304091791470
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091810711
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091812075
opened,view,org.tigris.subversion.subclipse.ui,1.6.17,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1304091812209
opened,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.GenericHistoryView",1304091812368
opened,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.repositories",1304091812465
activated,perspective,org.tigris.subversion.subclipse.ui,1.6.17,"org.tigris.subversion.subclipse.ui.svnPerspective",1304091812485
activated,view,org.tigris.subversion.subclipse.ui,1.6.17,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1304091812504
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1304091812516
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1304091812516
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091819574
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1304091841166
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.15,"org.tigris.subversion.clientadapter.javahl",1304091842702
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,"org.tigris.subversion.clientadapter.svnkit",1304091842703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091847829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091866605
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091870088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091870164
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091877368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091877684
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1304091890116
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1304091890126
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091891470
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1304091891950
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1304091891969
error,log,,,"org.tigris.subversion.javahl.ClientException: Working copy not locked; this is probably a bug, please report\nsvn: Directory 'C:\\Users\\PatrickF\\eclipse workspaces\\swag workspace\\swag\\bin\\models\\.svn' containing working copy admin area is missing\n",1304091894242
error,log,,,"org.tigris.subversion.javahl.ClientException: Working copy not locked; this is probably a bug, please report\nsvn: Directory 'C:\\Users\\PatrickF\\eclipse workspaces\\swag workspace\\swag\\bin\\META-INF\\.svn' containing working copy admin area is missing\n",1304091894246
